"class_code","group"
"G01R  31/2815","IPC3"
"G01R  31/28151","IPC3"
"G01R  31/28152","IPC3"
"G01R  31/28153","IPC3"
"G01R  31/28154","IPC3"
"G01R  31/28155","IPC3"
"G01R  31/28156","IPC3"
"G01R  31/28157","IPC3"
"G01R  31/28158","IPC3"
"G01R  31/28159","IPC3"
"G01R  31/2816","IPC3"
"G01R  31/28161","IPC3"
"G01R  31/28162","IPC3"
"G01R  31/28163","IPC3"
"G01R  31/28164","IPC3"
"G01R  31/28165","IPC3"
"G01R  31/28166","IPC3"
"G01R  31/28167","IPC3"
"G01R  31/28168","IPC3"
"G01R  31/28169","IPC3"
"G01R  31/2817","IPC3"
"G01R  31/28171","IPC3"
"G01R  31/28172","IPC3"
"G01R  31/28173","IPC3"
"G01R  31/28174","IPC3"
"G01R  31/28175","IPC3"
"G01R  31/28176","IPC3"
"G01R  31/28177","IPC3"
"G01R  31/28178","IPC3"
"G01R  31/28179","IPC3"
"G01R  31/2818","IPC3"
"G01R  31/28181","IPC3"
"G01R  31/28182","IPC3"
"G01R  31/28183","IPC3"
"G01R  31/28184","IPC3"
"G01R  31/28185","IPC3"
"G01R  31/28186","IPC3"
"G01R  31/28187","IPC3"
"G01R  31/28188","IPC3"
"G01R  31/28189","IPC3"
"G01R  31/2819","IPC3"
"G01R  31/28191","IPC3"
"G01R  31/28192","IPC3"
"G01R  31/28193","IPC3"
"G01R  31/28194","IPC3"
"G01R  31/28195","IPC3"
"G01R  31/28196","IPC3"
"G01R  31/28197","IPC3"
"G01R  31/28198","IPC3"
"G01R  31/28199","IPC3"
"G01R  31/282","IPC3"
"G01R  31/28201","IPC3"
"G01R  31/28202","IPC3"
"G01R  31/28203","IPC3"
"G01R  31/28204","IPC3"
"G01R  31/28205","IPC3"
"G01R  31/28206","IPC3"
"G01R  31/28207","IPC3"
"G01R  31/28208","IPC3"
"G01R  31/28209","IPC3"
"G01R  31/2821","IPC3"
"G01R  31/28211","IPC3"
"G01R  31/28212","IPC3"
"G01R  31/28213","IPC3"
"G01R  31/28214","IPC3"
"G01R  31/28215","IPC3"
"G01R  31/28216","IPC3"
"G01R  31/28217","IPC3"
"G01R  31/28218","IPC3"
"G01R  31/28219","IPC3"
